Id,Label,color,Size,Color
mongoosemetrics,,"#000000",1,"#000000"
numenta,,"#000000",1,"#000000"
sheetjs,,"#000000",1,"#000000"
transcendrobotics,,"#000000",1,"#000000"
ualberta,,"#000000",1,"#000000"
uni-duesseldorf,,"#000000",1,"#000000"
wiser,,"#000000",1,"#000000"
yodlee,,"#000000",1,"#000000"
zenior,,"#000000",1,"#000000"
Ingenious,,"#000000",1.158576,"#000000"
Kobalt,,"#000000",1.475728,"#000000"
Illionois,,"#000000",1.317152,"#000000"
Cloudera,,"#000000",1.158576,"#000000"
Diagnosia,,"#000000",1.317152,"#000000"
Smartface,,"#000000",1.317152,"#000000"
Adobe,,"#000000",1.951456,"#000000"
Humu,,"#000000",1.317152,"#000000"
Screen,,"#000000",1.317152,"#000000"
grailbio,,"#000000",1.79288,"#000000"
noble,,"#000000",2.585761,"#000000"
dosc,,"#000000",1.79288,"#000000"
dfki,,"#000000",4.488673,"#000000"
realityengines,,"#000000",1.951456,"#000000"
ARM,,"#000000",4.647249,"#000000"
criteo,,"#000000",2.585761,"#000000"
ucm,,"#000000",1.79288,"#000000"
polymagelabs,,"#000000",2.744337,"#000000"
fizyr,,"#000000",2.110032,"#000000"
mobvoi,,"#000000",2.110032,"#000000"
spotify,,"#000000",2.427185,"#000000"
pinterest,,"#000000",1.634304,"#000000"
linkedin,,"#000000",2.110032,"#000000"
iastate,,"#000000",1.317152,"#000000"
Redhat,,"#000000",1.475728,"#000000"
minio,,"#000000",1.634304,"#000000"
algolux,,"#000000",1.475728,"#000000"
cornell,,"#000000",1.475728,"#000000"
tencent,,"#000000",3.061489,"#000000"
njit,,"#000000",1.634304,"#000000"
Synopsys,,"#000000",1.634304,"#000000"
goilluminate,,"#000000",1.158576,"#000000"
AMD,,"#777777",9.721683,"#777777"
Huawei,,"#000000",7.660194,"#000000"
Graphcore,,"#000000",3.695793,"#000000"
hello,,"#000000",3.537217,"#000000"
Sparkfun,,"#000000",1.158576,"#000000"
wealthsimple,,"#000000",2.427185,"#000000"
tcl,,"#000000",2.110032,"#000000"
dcc,,"#000000",1.475728,"#000000"
systrangroup,,"#000000",2.744337,"#000000"
fau,,"#000000",2.902913,"#000000"
shopify,,"#000000",3.537217,"#000000"
tu-dresden,,"#000000",4.012945,"#000000"
bytedance,,"#000000",4.330097,"#000000"
ambiqmicro,,"#000000",13.368933,"#000000"
iisc,,"#000000",2.902913,"#000000"
polytechnique,,"#000000",1.951456,"#000000"
xiaomi,,"#000000",1.634304,"#000000"
Zalando,,"#000000",1.634304,"#000000"
pgroup,,"#000000",2.427185,"#000000"
umn,,"#000000",1.158576,"#000000"
cerebras,,"#000000",2.744337,"#000000"
Systrangroup,,"#000000",1.79288,"#000000"
gtc,,"#000000",1.951456,"#000000"
jobcase,,"#000000",1.475728,"#000000"
iiitmanipur,,"#000000",1.317152,"#000000"
psiori,,"#000000",1.475728,"#000000"
linaro,,"#000000",4.647249,"#000000"
pho,,"#000000",2.110032,"#000000"
mxc,,"#000000",2.427185,"#000000"
cookpad,,"#000000",1.634304,"#000000"
maeth,,"#000000",1.79288,"#000000"
uber,,"#000000",2.268609,"#000000"
iith,,"#000000",2.585761,"#000000"
juliacomputing,,"#000000",2.585761,"#000000"
epfl,,"#000000",1.79288,"#000000"
appstate,,"#000000",1.951456,"#000000"
arconsis,,"#000000",1.634304,"#000000"
etacompute,,"#000000",2.268609,"#000000"
surrey,,"#000000",2.427185,"#000000"
pinduoduo,,"#000000",1.475728,"#000000"
bjfu,,"#000000",2.427185,"#000000"
duke,,"#000000",1.317152,"#000000"
lineageos,,"#000000",1.634304,"#000000"
racemed,,"#000000",1.79288,"#000000"
antmicro,,"#000000",3.695793,"#000000"
uni-mainz,,"#000000",1.634304,"#000000"
suse,,"#000000",2.744337,"#000000"
kheironmed,,"#000000",1.634304,"#000000"
sjtu,,"#000000",2.585761,"#000000"
hotpads,,"#000000",1.475728,"#000000"
nationalchip,,"#000000",1.79288,"#000000"
tu-dortmund,,"#000000",2.110032,"#000000"
dropbox,,"#000000",1.79288,"#000000"
buaa,,"#000000",1.951456,"#000000"
aptusdatalabs,,"#000000",2.585761,"#000000"
ring,,"#000000",1.475728,"#000000"
hodesdon,,"#000000",1.317152,"#000000"
bluewin,,"#000000",2.744337,"#000000"
usp,,"#000000",1.634304,"#000000"
bioinf,,"#000000",2.110032,"#000000"
Harvard,,"#000000",1.634304,"#000000"
getcruise,,"#000000",2.268609,"#000000"
picsart,,"#000000",1.475728,"#000000"
ngs,,"#000000",2.427185,"#000000"
ucsd,,"#000000",2.427185,"#000000"
4catalyzer,,"#000000",1.634304,"#000000"
winton,,"#000000",2.110032,"#000000"
moldweorp,,"#000000",1.634304,"#000000"
ksindi,,"#000000",1.634304,"#000000"
Yandex,,"#000000",1.158576,"#000000"
Tomicio,,"#000000",1.158576,"#000000"
Quasar,,"#000000",1.158576,"#000000"
Nyu,,"#000000",1.158576,"#000000"
Nts-corp,,"#000000",1.158576,"#000000"
yandex,,"#000000",1.158576,"#000000"
pwc-digital,,"#000000",1.158576,"#000000"
Arkovia,,"#000000",1.158576,"#000000"
Globant,,"#000000",1.158576,"#000000"
linux,,"#000000",1.158576,"#000000"
cuw,,"#000000",1.158576,"#000000"
Britecore,,"#000000",1.158576,"#000000"
bu,,"#000000",1,"#000000"
codeplay,,"#000000",1,"#000000"
deseretdigital,,"#000000",1,"#000000"
semmle,,"#000000",1,"#000000"
Standford,,"#000000",1,"#000000"
uw,,"#000000",1,"#000000"
Ensostudio,,"#000000",1.475728,"#000000"
Ualberta,,"#000000",1.317152,"#000000"
Oppo,,"#000000",2.110032,"#000000"
uwaterloo,,"#000000",1.317152,"#000000"
canonical,,"#000000",1.79288,"#000000"
manabie,,"#000000",1.475728,"#000000"
naver,,"#000000",2.427185,"#000000"
oppo,,"#000000",1.79288,"#000000"
Sharezone,,"#000000",1.475728,"#000000"
diagnosia,,"#000000",1.317152,"#000000"
Sage,,"#000000",1.634304,"#000000"
Bytedance,,"#000000",1.475728,"#000000"
Cyntler,,"#000000",1.317152,"#000000"
Shopify,,"#000000",1.317152,"#000000"
Lectra,,"#000000",1.634304,"#000000"
Tracxn,,"#000000",1.317152,"#000000"
Kensho,,"#000000",1.475728,"#000000"
arm,,"#000000",8.61165,"#000000"
nxp,,"#000000",2.585761,"#000000"
cadence,,"#000000",3.378641,"#000000"
bdti,,"#000000",3.378641,"#000000"
xtech,,"#000000",2.744337,"#000000"
habana,,"#000000",1.634304,"#000000"
instadeep,,"#000000",1.951456,"#000000"
amazon,,"#000000",5.122977,"#000000"
alibaba-inc,,"#000000",2.110032,"#000000"
Polymagelabs,,"#000000",2.902913,"#000000"
uvic,,"#000000",2.268609,"#000000"
nsec,,"#000000",2.268609,"#000000"
maxar,,"#000000",2.585761,"#000000"
fraunhofer,,"#000000",2.268609,"#000000"
calpoly,,"#000000",1.951456,"#000000"
sunoru,,"#000000",1.634304,"#000000"
legatohealth,,"#000000",2.744337,"#000000"
pku,,"#000000",1.317152,"#000000"
peritiae,,"#000000",2.110032,"#000000"
mercateo,,"#000000",1.634304,"#000000"
scortex,,"#000000",2.110032,"#000000"
inailuig,,"#000000",1.634304,"#000000"
uwo,,"#000000",1.634304,"#000000"
tum,,"#000000",3.061489,"#000000"
northvolt,,"#000000",1.951456,"#000000"
hi,,"#000000",1.79288,"#000000"
victech,,"#000000",1.317152,"#000000"
mercury,,"#000000",1.79288,"#000000"
NOne,,"#000000",1.951456,"#000000"
sony,,"#000000",2.268609,"#000000"
espressif,,"#000000",2.585761,"#000000"
synopsys,,"#000000",3.854369,"#000000"
himax,,"#000000",2.902913,"#000000"
yahoo,,"#000000",2.268609,"#000000"
xmos,,"#000000",1.79288,"#000000"
edgeimpulse,,"#000000",2.902913,"#000000"
sensiml,,"#000000",2.585761,"#000000"
microsoft,,"#000000",1.951456,"#000000"
bmsce,,"#000000",1.79288,"#000000"
illinois,,"#000000",1.634304,"#000000"
scu,,"#000000",1.475728,"#000000"
broadcom,,"#000000",3.061489,"#000000"
eyedea,,"#000000",1.317152,"#000000"
artec-group,,"#000000",2.110032,"#000000"
tutanota,,"#000000",1.951456,"#000000"
unibap,,"#000000",1.158576,"#000000"
primatelabs,,"#000000",1.317152,"#000000"
windriver,,"#000000",1.475728,"#000000"
acm,,"#000000",1.79288,"#000000"
D2iQ,,"#000000",1.158576,"#000000"
infineon,,"#000000",1.79288,"#000000"
dalim,,"#000000",1.634304,"#000000"
wdc,,"#000000",1.951456,"#000000"
turation,,"#000000",1.475728,"#000000"
lambdal,,"#000000",2.110032,"#000000"
jhu,,"#000000",1.79288,"#000000"
nucleisys,,"#000000",2.268609,"#000000"
sparkfun,,"#000000",2.427185,"#000000"
revealtech,,"#000000",1.317152,"#000000"
ibexinnovations,,"#000000",1.475728,"#000000"
yandex-team,,"#000000",1.79288,"#000000"
sicara,,"#000000",1.475728,"#000000"
baylibre,,"#000000",1.475728,"#000000"
Intellecti,,,1.634304,"#000000"
poly-ai,,"#000000",1.158576,"#000000"
stripe,,"#000000",1.158576,"#000000"
exaleapsemi,,"#000000",1.158576,"#000000"
ravelin,,"#000000",1.317152,"#000000"
adalogics,,"#000000",2.427185,"#000000"
hotmail,,"#000000",1.634304,"#000000"
collabora,,"#000000",1.158576,"#000000"
instacart,,"#000000",1.475728,"#000000"
nuro,,"#000000",1.634304,"#000000"
kuaishou,,"#000000",1.317152,"#000000"
Hypermob,,"#000000",1.158576,"#000000"
b1-systems,,"#000000",1,"#000000"
intellecti,,"#000000",1,"#000000"
Collabora,,"#000000",1.317152,"#000000"
Canonical,,"#000000",1.317152,"#000000"
Zulip,,"#000000",1.634304,"#000000"
twinsunsolutions,,"#000000",1.951456,"#000000"
NYU,,"#000000",1.634304,"#000000"
isquaredsoftware.com,,"#000000",1.634304,"#000000"
codesandbox.io,,"#000000",1.475728,"#000000"
Callstack,,"#000000",1.317152,"#000000"
goinc,,"#000000",1.317152,"#000000"
cern,,"#000000",1.634304,"#000000"
mathworks,,"#000000",1.951456,"#000000"
ispras,,"#000000",2.427185,"#000000"
nevada,,"#000000",1.475728,"#000000"
motorola,,"#000000",1.475728,"#000000"
samsung,,"#000000",1.79288,"#000000"
metu,,"#000000",1.79288,"#000000"
capgemini,,"#000000",1.79288,"#000000"
ornl,,"#000000",1.634304,"#000000"
soton,,"#000000",2.110032,"#000000"
engflow,,"#000000",2.744337,"#000000"
xanadu,,"#000000",1.158576,"#000000"
sifive,,"#000000",1.317152,"#000000"
verisilicon,,"#000000",1.158576,"#000000"
snapchat,,"#000000",1.317152,"#000000"
supremetech,,"#000000",1.158576,"#000000"
agentic,,"#000000",1.158576,"#000000"
Synology,,"#000000",1.158576,"#000000"
Askattest,,"#000000",1.158576,"#000000"
snyk,,"#000000",1,"#000000"
